DATE,M1SL,M2SL,total_isk,cor_total_isk
2017/1/1,3393.2,13283.5,1.01808E+15,70.77685319
2017/2/1,3403.1,13348.1,9.81211E+14,68.21381027
2017/3/1,3451.3,13416.7,9.85334E+14,68.50045081
2017/4/1,3450.4,13477.4,1023286734351924.6,71.13889377
2017/5/1,3516.2,13535.7,1023610777142543.4,71.16142123
2017/6/1,3525.3,13559.5,1088244296843641.2,75.65474352
2017/7/1,3547.3,13623.5,1069352915415187.6,74.34141468
2017/8/1,3586.5,13682,1061695355474516.0,73.80906111
2017/9/1,3570.5,13727.4,1063445830842669.0,73.93075416
2017/10/1,3607.8,13781.6,1076287784261986.6,74.82352676
2017/11/1,3629.4,13807.6,1099031444566765.6,76.40466603
2017/12/1,3613.3,13853,1106363329039758.4,76.91437863
2018/1/1,3651.1,13861.8,1140869942116370.2,79.31327838
2018/2/1,3614.4,13899.4,1136354996987254.5,78.99939939
2018/3/1,3664.5,13958,1141282374731608.2,79.34195069
2018/4/1,3656.6,13980.7,1143371110115704.5,79.48715958
2018/5/1,3654,14046.2,1183649069545311.5,82.28728331
2018/6/1,3655.6,14107.1,1243397276206884.0,86.44097864
2018/7/1,3681.5,14145.3,1203711073014614.5,83.6819938
2018/8/1,3695,14193.2,1180402666242004.2,82.06159336
2018/9/1,3702.2,14224.6,1187883286761684.8,82.5816461
2018/10/1,3726.1,14234.7,1183489410752850.2,82.27618384
2018/11/1,3704.2,14245,1207267127004209.0,83.92921067
2018/12/1,3764.3,14355.3,1207267127004209.0,83.92921067
2019/1/1,3744.4,14417.1,1320881313455269.8,91.82766891
2019/2/1,3751.2,14454.4,1284984419601184.0,89.33211685
2019/3/1,3735,14496.7,1308958259224853.2,90.99877818
2019/4/1,3779.3,14531,1337598782783040.5,92.98986738
2019/5/1,3788,14643.4,1305363691398191.5,90.74888383
2019/6/1,3832.1,14765.4,1409580571034758.0,97.9940413
2019/7/1,3865,14847.2,1353354084534442.0,94.08517596
2019/8/1,3862,14928.8,1334694338944659.5,92.78795044
2019/9/1,3901.2,15019.9,1287560416304061.5,89.51120014
2019/10/1,3931.6,15154.5,1227722919086746.2,85.35129733
2019/11/1,3952.8,15252.6,1225323660436970.8,85.18450087
2019/12/1,4008.4,15313.7,1229797171716703.5,85.49549938
2020/1/1,3977.6,15380.6,1269915254020090.0,88.28450846
2020/2/1,3979.6,15432.3,1273831013992697.2,88.55673209
2020/3/1,4260.9,15962,1264903838429059.0,87.93611485
2020/4/1,4788.8,16983.9,1292248323025248.8,89.83710342
2020/5/1,16245.5,17850.9,1336926813621229.5,92.94315208
2020/6/1,16574.1,18142.8,1340719486761111.8,93.20681872
2020/7/1,16774.5,18293.3,1347532706161685.5,93.68047373
2020/8/1,16898.8,18365.2,1325263901208568.8,92.13234641
2020/9/1,17170.5,18591.4,1342648569211487.8,93.34092853
2020/10/1,17365.7,18743.5,1344262226405057.0,93.45310998
2020/11/1,17612.9,18959.3,1364097506757446.5,94.83205867
2020/12/1,17803,19097.3,1369498789447323.5,95.20755584
2021/1/1,18063,19323,1336315299433572.8,92.90063962
2021/2/1,18322.3,19559.8,1336404570934945.2,92.90684577
2021/3/1,18595.7,19799.3,1330710762196543.0,92.51101219
2021/4/1,18946.2,20125.2,1336949405149744.2,92.94472265
2021/5/1,19266.3,20429.5,1316354091792804.0,91.51293646
2021/6/1,19327.2,20473.1,1338470812044348.5,93.05049085
